model,CV_MAE,CV_RMSE,CV_MedianAE,CV_F1,CV_Precision,CV_Recall,folds
Empirical Bayes company-history model,1.525208442345126,2.788107254391146,0.8166831293927419,0.01680672268907563,0.058823529411764705,0.00980392156862745,17
Baseline: global median,1.6070047686509743,2.8662630969165623,0.9414771643757582,0.0,0.0,0.0,17
Baseline: current-year layoff pct,1.6328452793426589,3.465868542643528,0.7654853007246674,0.10149942329873127,0.14705882352941177,0.1147875816993464,17
Baseline: company median,1.7496274255714719,3.017708413736863,0.9520011379952538,0.0,0.0,0.0,17
Direct Hist Gradient Boosting,1.8578631287809195,3.0920216414005623,1.3057886961660665,0.02557544757033248,0.058823529411764705,0.016339869281045753,17
Direct Random Forest,1.858245983836024,3.006364405247158,1.226909974957533,0.058823529411764705,0.058823529411764705,0.058823529411764705,17
Residual Random Forest,1.8637594647477977,3.021795544294111,1.21010604175971,0.058823529411764705,0.058823529411764705,0.058823529411764705,17
Residual Gradient Boosting,1.9255629590674914,3.0791338665730805,1.2900646397721625,0.0,0.0,0.0,17
Direct Gradient Boosting,1.938405611899677,3.0883627123018593,1.3091984914722192,0.0,0.0,0.0,17
Residual Hist Gradient Boosting,1.9464124060970613,3.0954914453887206,1.3221631804705936,0.01680672268907563,0.058823529411764705,0.00980392156862745,17
Direct Ridge,2.8508917404876004,4.007062557816909,2.321241749843947,0.06574394463667821,0.11764705882352941,0.0625,17
Residual Ridge,2.8585032296889685,4.014466250307531,2.312263404104608,0.0853517877739331,0.1323529411764706,0.09191176470588236,17
Residual Huber,3.7147681372826225,4.765181708726968,3.285638761013355,0.017383098321867692,0.06429844665138783,0.1213235294117647,17
Direct Huber,3.7440248704360526,4.78480698317333,3.3517001862897438,0.02718701989049514,0.06964604023427552,0.1801470588235294,17
